id,filerId,filingId,filerName,filingDate,departmentName,positionName,offices,periodStart,periodEnd,parcelOrAddress,city,fairMarketValueScheduleB,fairMarketValueScheduleBAsRange,dateAcquired,dateDisposed,grossIncomeReceived,grossIncomeReceivedAsRange,incomeSources,natureOfInterest,natureOfInterest_LeaseYearsRemaining,natureOfInterest_OtherDescription,loan_nameOfLender,loan_address,loan_city,loan_state,loan_zip,loan_businessActivity,loan_highestBalance,loan_highestBalanceAsRange,loan_interestRate,loan_term,loan_guarantor
f472072100fa4ad6a6b8291967e547a4,SFO-158592,202722303,"Froehlich, David",03/14/2022 11:41:25 AM,Recreation and Park Department,Project Manager I,Project Manager I - Recreation and Park Department,01/01/2021,12/31/2021,55 Exeter Street,San Francisco,100000,"$100,001 - $1,000,000",,,,Unset,,Ownership/Deed of Trust,,,,,,,,,0,Unset,,,
1fa336f16c8f413e9d76fe559920d97a,SFO-157517,202717663,"Patel, Ashish",03/14/2022 10:50:46 AM,Municipal Transportation Agency,Municipal Transportation Agency--Manager VIII,Municipal Transportation Agency--Manager VIII - Municipal Transportation Agency,01/01/2021,12/31/2021,"555 4th Street,
Unit 401",San Francisco,1000000,"Over $1,000,000",,,,Unset,,Ownership/Deed of Trust,,,,,,,,,0,Unset,,,
89b58a244d79484b884c7e0093ec32cc,SFO-160830,202703607,"Tran, Marlene",03/13/2022 08:25:58 PM,Public Utilities Commission,"Public Utilities Commission, Boards and Administration--Southeast Community Faci","Public Utilities Commission, Boards and Administration--Southeast Community Facility Commissioner - Public Utilities Commission",01/01/2021,12/31/2021,VOL037 BK6248 LT010,SAN FRANCISCO,1000000,"Over $1,000,000",,,100000,"Over $100,000",[REDACTED]|[REDACTED],Ownership/Deed of Trust,,,,,,,,,0,Unset,,,
86845e8ef3aa4763a08938e573dc49e9,SFO-160830,202703607,"Tran, Marlene",03/13/2022 08:25:58 PM,Public Utilities Commission,"Public Utilities Commission, Boards and Administration--Southeast Community Faci","Public Utilities Commission, Boards and Administration--Southeast Community Facility Commissioner - Public Utilities Commission",01/01/2021,12/31/2021,VOL37 BK6208 LT053,SAN FRANCISCO,100000,"$100,001 - $1,000,000",,,10000,"$10,001 - $100,000",[REDACTED],Ownership/Deed of Trust,,,,,,,,,0,Unset,,,
a74202d79eaa4f7997a30335b82e8462,SFO-160830,202703607,"Tran, Marlene",03/13/2022 08:25:58 PM,Public Utilities Commission,"Public Utilities Commission, Boards and Administration--Southeast Community Faci","Public Utilities Commission, Boards and Administration--Southeast Community Facility Commissioner - Public Utilities Commission",01/01/2021,12/31/2021,VOL37 BK6245 LT039,SAN FRANCISCO,100000,"$100,001 - $1,000,000",,,10000,"$10,001 - $100,000",[REDACTED],Ownership/Deed of Trust,,,,,,,,,0,Unset,,,
af1b6dd39d1949c1b5eced4db5298b59,SFO-160830,202703607,"Tran, Marlene",03/13/2022 08:25:58 PM,Public Utilities Commission,"Public Utilities Commission, Boards and Administration--Southeast Community Faci","Public Utilities Commission, Boards and Administration--Southeast Community Facility Commissioner - Public Utilities Commission",01/01/2021,12/31/2021,VOL37 BK6247 LT006,SAN FRANCISCO,1000000,"Over $1,000,000",,,10000,"$10,001 - $100,000",[REDACTED],Ownership/Deed of Trust,,,,,,,,,0,Unset,,,
2922e7bf43574f4a937529b17d662812,SFO-159072,202702040,"Ng, Monica",03/13/2022 01:55:45 PM,Treasurer/Tax Collector Office of the,Account Clerk,Account Clerk - Treasurer/Tax Collector Office of the,01/01/2021,12/31/2021,"1104 Grimsworth Lane
","Allen, TX75002",100000,"$100,001 - $1,000,000",,,10000,"$10,001 - $100,000",[REDACTED]|[REDACTED],Ownership/Deed of Trust,,,,,,,,,0,Unset,,,
63cdec55f23d45dcb5a97590da8d4d2b,SFO-157195,202700608,"Lovett, Li",03/12/2022 10:58:33 PM,Board of Supervisors,Legislative Assistant,Legislative Assistant - Board of Supervisors,01/01/2021,12/31/2021,1623 39th Avenue (home office- Liminus Learning),San Francisco,10000,"$10,001 - $100,000",,,,Unset,,Ownership/Deed of Trust,,,,,,,,,0,Unset,,,
c729face55bb49979c487b62e4cf8fc7,SFO-159797,202689460,"Han, Xu",03/11/2022 02:37:07 PM,Public Health Department of,Principal Administrative Analyst,Principal Administrative Analyst - Public Health Department of,01/01/2021,12/31/2021,94 Junior Ter,San Francisco,1000000,"Over $1,000,000",06/30/2021,,250,$0 - $499,,Ownership/Deed of Trust,,,,,,,,,0,Unset,,,
53447c6786724c629971dbe323e44deb,SFO-155130,202689218,"Kim, Luenna",03/11/2022 02:29:23 PM,Housing Authority Commission,Commissioner,Commissioner - Housing Authority Commission,01/01/2021,12/31/2021,4991-436,San Francisco,100000,"$100,001 - $1,000,000",,,10000,"$10,001 - $100,000",[REDACTED],Ownership/Deed of Trust,,,,,,,,,0,Unset,,,
dc89e13fe51b485eafffd237b6e9e7c0,SFO-158005,202682436,"Walls, Mark",03/11/2022 11:38:30 AM,Building Inspection Department of,Senior Building Inspector,Senior Building Inspector - Building Inspection Department of,01/01/2021,12/31/2021,6729/001,San Francisco,100000,"$100,001 - $1,000,000",,,250,$0 - $499,,Ownership/Deed of Trust,,,,,,,,,0,Unset,,,
